Product_ID,Product_Title, Merchant_ID
1,apple iphone 8 plus 64gb silver,1
2,apple iphone 8 plus 64 gb spacegrau,2
3,apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,3
7,apple iphone 8 plus 64 gb space grey,7
11,apple iphone 8 plus 5.5 single sim 4g 64gb silver,11
12,sim free iphone 8 plus 64gb by apple space grey,12
13,apple iphone 8 plus 64gb gold smartphone,13
14,apple iphone 8 plus 5.5 single sim 4g 64gb grey,14
15,apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,15
16,apple iphone 8 plus 64 gb silver,16
17,apple iphone 8 plus 64gb silver unlocked,17
18,apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,18
19,iphone 8 plus sim free water dust resistant 64gb silver by apple,19
20,iphone 8 plus 64gb space grey,20
21,apple iphone 8 plus,21
22,sim free iphone 8 plus 64gb mobile phone space grey,22
23,apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock,23
24,apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold,3
25,apple iphone 7 plus 32 gb rose gold,2
26,apple iphone 7 plus 32gb rose gold,4
30,apple iphone 7 plus jet black 32 gb,7
34,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver,11
35,iphone 7 plus 32gb black,24
36,sim free iphone 7 plus 32gb by apple black,12
37,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold,14
38,apple iphone 7 plus 32gb schwarz smartphone,13
39,apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free,15
40,sim free iphone 7 plus 32gb mobile phone silver,22
41,apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,18
42,apple iphone 7 plus 32gb rosegold 3 brand new,25
43,iphone 7 plus 32gb silver,20
44,apple iphone 7 plus,21
45,iphone 7 plus 32gb rose gold mnqq2b/a wc01,26
46,apple grade b iphone 7 32gb gold handset only,5
47,grade b apple iphone 7 32gb silver handset only,6
48,apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black,3
49,apple iphone 7 32 gb matt schwarz,2
50,iphone 7 32gb gold,4
51,apple iphone 7 black 32 gb,7
52,apple iphone 7 32gb silver,9
53,apple iphone 7 32gb black,27
54,apple iphone 7 32gb silver unlocked,8
55,apple iphone 7 32gb rose gold unlocked,10
56,apple iphone 7 32gb schwarz smartphone,13
57,apple iphone 7 32gb gold,1
58,apple iphone 7 black 4.7 32gb 4g unlocked sim free,15
59,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah gold,11
60,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah black,14
61,sim free iphone 7 32gb mobile phone jet black,22
62,apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black,18
63,apple iphone 7 32gb jet black,17
64,apple iphone 7 32gb silver unlocked brand new,25
65,iphone 7 32gb black,20
66,apple iphone 7,21
67,iphone 7 32gb black mn8x2b/a wc01,26
73,apple iphone 8 smartphone 64gb 4.7 zoll spacegrau,28
74,apple iphone 8 64 gb silber,2
75,apple iphone 8 64gb schwarz smartphone,13
76,apple iphone 8 space grey 4.7 64gb 4g unlocked sim free,15
77,apple iphone 8 64 gb space grey,7
82,apple iphone 8 4.7 single sim 4g 64gb silver,11
83,apple iphone 8 4.7 single sim 4g 64gb grey,14
84,apple iphone 8 64 gb spaceship grey,16
85,apple iphone 8 4.7 inch multi touch retina hd display 64gb wlan wwa,18
86,iphone 8 64gb space grey,20
87,apple iphone 8,21
88,sim free iphone 8 64gb mobile phone space grey,22
89,apple mq6g2b/a 4.7 iphone 8 64gb space grey in stock uk spec stock,23
91,apple mqac2b/a iphone x 64gb 4.8 12mp sim free smartphone in space grey,3
92,apple iphone x 64 gb spacegrau,2
93,apple iphone x 14.7 cm 5.8 64 gb single sim 4g grey,14
94,apple iphone x 64gb grau smartphone,13
98,iphone x 64gb silver,4
101,apple iphone x 64gb silver,10
102,iphone x 64gb space grey,24
103,apple iphone x 5.8 single sim 4g 64gb silver,11
104,apple iphone x silver 5.8 64gb 4g unlocked sim free,15
105,apple iphone iphone x 14.7 cm 5.8 64 gb 12 mp ios 11 silver,18
106,apple iphone x 64gb silver solo unlocked,17
107,sim free iphone x 64gb mobile phone silver,22
108,apple iphone x smartphone 4g lte advanced 64 gb gsm 5.8 2436 x 1125 pixels 458 ppi super retina hd 12 mp 7 mp front camera space grey mqac2b/a c2000,26
109,apple iphone x,21
110,apple mqad2b/a 5.8 iphone x 64gb silver in stock uk spec stock,23
111,grade a samsung galaxy s8 pink 5.8 64gb 4g unlocked sim free,5
112,samsung galaxy s8 sm g950f 64gb sim free smartphone midnight black,3
113,samsung galaxy s8 g950f 64gb lte midnight black,2
114,samsung galaxy s8 sm g950f 14.7 cm 5.8 4 gb 64 gb 4g black 3000 mah,11
115,samsung galaxy s8 64gb midnight black,24
116,samsung galaxy s8 artic silver 5.8 64gb 4g unlocked sim free,6
117,samsung galaxy s8 midnight black 5.8 64gb 4g unlocked sim free,15
118,samsung galaxy s8 g9500 4gb ram 64gb rom dual sim orchid gray,29
119,samsung galaxy s8 64gb eu smartphone,30
120,samsung galaxy s8 single sim 64gb android uk version sim free smartphone midnight black with samsung original level box slim wireless portable bluetooth speaker,17
121,samsung galaxy s8 midnight black,8
122,5.8 infinity display dual camera octa core 4gb ram 64gb 3000,4
123,samsung galaxy s8 64 gb orchid grey,7
124,samsung mobile galaxy s8 series mobile phone in black,31
125,samsung galaxy s8 sm g950f 14.7 cm 5.8 4 gb 64 gb single sim 4g,14
126,samsung sm g950fzkabtu galaxy s8 64gb in midnight black,32
127,samsung 64gb black galaxy s8 sm g950fzkabtu,33
128,sim free galaxy s8 64gb by samsung black,12
129,samsung galaxy s8 sm g950f 14.7 cm 5.8 64 gb 12 mp android 7,18
130,samsung galaxy s8,21
132,apple mqaf2b/a iphone x 256gb 4.8 12mp sim free smartphone in space grey,3
133,apple iphone x 256 gb spacegrau,2
135,apple iphone x 256 gb spaceship grey,16
